取出情報,ダム
取出間隔,10分間隔
取出期間,　2024/06/25～,,　2024/07/02

ダム名,厚東川ダム
洪水量,300.00
観測時刻,60分雨量,累加雨量,貯水位,貯水率,流入量,全放流量,調整流量
　2024/06/25 00:10,,,36.45,93.7,30.96,29.26,-1.70
　2024/06/25 00:20,,0,36.45,93.7,30.96,29.66,-1.30
　2024/06/25 00:30,,0,36.45,93.7,30.96,29.40,-1.56
　2024/06/25 00:40,,0,36.44,93.6,30.96,24.23,-6.73
　2024/06/25 00:50,,0,36.44,93.6,30.96,24.34,-6.62
　2024/06/25 01:00,0,0,36.44,93.6,30.96,24.05,-6.91
　2024/06/25 01:10,,0,36.44,93.6,30.96,24.01,-6.95
　2024/06/25 01:20,0,0,36.44,93.6,30.96,24.18,-6.78
　2024/06/25 01:30,0,0,36.44,93.6,30.96,24.35,-6.61
　2024/06/25 01:40,0,0,36.44,93.6,30.96,24.28,-6.68
　2024/06/25 01:50,0,0,36.44,93.6,30.96,24.35,-6.61
　2024/06/25 02:00,0,0,36.44,93.6,30.96,24.11,-6.85
　2024/06/25 02:10,0,0,36.44,93.6,30.96,24.14,-6.82
　2024/06/25 02:20,0,0,36.44,93.6,30.96,24.94,-6.02
　2024/06/25 02:30,0,0,36.44,93.6,30.96,24.40,-6.56
　2024/06/25 02:40,0,0,36.44,93.6,30.96,24.51,-6.45
　2024/06/25 02:50,0,0,36.44,93.6,30.96,24.02,-6.94
　2024/06/25 03:00,0,0,36.44,93.6,30.96,24.52,-6.44
　2024/06/25 03:10,0,0,36.45,93.7,30.96,24.62,-6.34
　2024/06/25 03:20,0,0,36.45,93.7,30.96,24.90,-6.06
　2024/06/25 03:30,0,0,36.45,93.7,30.96,24.99,-5.97
　2024/06/25 03:40,0,0,36.45,93.7,30.96,24.75,-6.21
　2024/06/25 03:50,0,0,36.45,93.7,30.96,24.72,-6.24
　2024/06/25 04:00,0,0,36.45,93.7,30.96,24.70,-6.26
　2024/06/25 04:10,0,0,36.45,93.7,30.96,24.56,-6.40
　2024/06/25 04:20,0,0,36.45,93.7,30.96,24.34,-6.62
　2024/06/25 04:30,0,0,36.45,93.7,30.96,24.20,-6.76
　2024/06/25 04:40,0,0,36.45,93.7,24.16,24.16,0.00
　2024/06/25 04:50,0,0,36.45,93.7,24.60,24.60,0.00
　2024/06/25 05:00,0,0,36.45,93.7,24.35,24.35,0.00
　2024/06/25 05:10,0,0,36.45,93.7,14.00,14.00,0.00
　2024/06/25 05:20,0,0,36.45,93.7,14.33,14.33,0.00
　2024/06/25 05:30,0,0,36.45,93.7,14.16,14.16,0.00
　2024/06/25 05:40,0,0,36.45,93.7,14.16,14.16,0.00
　2024/06/25 05:50,0,0,36.46,93.9,24.69,13.93,-10.76
　2024/06/25 06:00,0,0,36.46,93.9,24.69,13.62,-11.07
　2024/06/25 06:10,0,0,36.46,93.9,24.69,13.85,-10.84
　2024/06/25 06:20,0,0,36.46,93.9,24.69,13.99,-10.70
　2024/06/25 06:30,0,0,36.46,93.9,24.69,14.24,-10.45
　2024/06/25 06:40,0,0,36.47,94.0,21.64,14.08,-7.56
　2024/06/25 06:50,0,0,36.47,94.0,21.64,14.06,-7.58
　2024/06/25 07:00,0,0,36.47,94.0,21.64,13.97,-7.67
　2024/06/25 07:10,,,36.47,94.0,21.64,13.94,-7.70
　2024/06/25 07:20,,,36.47,94.0,21.64,14.49,-7.15
　2024/06/25 07:30,,,36.47,94.0,21.64,14.49,-7.15
